id;nome;email;valor_compra
152;Ana Sophia Barbosa;levicosta@example.com;6670.70
153;João Pedro Mendonça;maria-fernanda23@example.com;3011.32
154;Enzo Pacheco;luiz-miguelnunes@example.com;7956.10
155;João Gabriel Cardoso;peixotoliam@example.net;6319.31
156;Isis Martins;aleao@example.com;4171.19
157;Augusto Cavalcante;ryan63@example.com;3234.33
158;Sr. Thiago da Mata;leticia58@example.net;6826.18
159;Ana Julia Aparecida;ceciliamoraes@example.com;2742.30
160;Francisco Barbosa;isabellycarvalho@example.org;9285.21
161;Hadassa Almeida;joaquim46@example.org;3831.88
162;Sra. Maria Isis Lima;joao-pedrocamara@example.com;5201.79
163;Lucca da Paz;da-mataasafe@example.org;2513.29
164;Erick Lopes;gcavalcante@example.net;1274.88
165;Pedro Miguel Machado;jose-pedrosouza@example.net;5817.22
166;Carlos Eduardo Novaes;arthurduarte@example.org;9467.97
167;Sr. Benicio da Mata;vitor35@example.com;7963.85
168;Mathias Araújo;matheus79@example.com;5103.43
169;Arthur Gabriel Araújo;samuelgoncalves@example.com;3065.99
170;Julia Sales;ottopires@example.org;9231.73
171;Theodoro Cardoso;bentosouza@example.com;3337.52
172;Anna Liz Pacheco;emanuel66@example.net;9840.61
173;Dr. Ravi Alves;moraesana-cecilia@example.com;8451.83
174;Davi Luiz Fernandes;mcampos@example.com;5013.55
175;Ana Rezende;cavalcantijoao-vitor@example.org;6652.79
176;Ana Laura Almeida;barrosmarcela@example.com;9926.38
177;Maria Isis Cavalcanti;oabreu@example.net;5026.11
178;Cecília Carvalho;olivia54@example.org;4953.28
179;Bryan Almeida;gustavo-henriquecirino@example.org;7297.83
180;Vinicius Guerra;albuquerqueliz@example.com;2174.39
181;Srta. Carolina Andrade;benicio50@example.net;8506.62
182;Ravi Barbosa;enzolopes@example.net;6376.36
183;Ana Júlia Aragão;alana98@example.org;2557.90
184;Sra. Lavínia Cunha;lucas-gabriel94@example.com;9150.41
185;Dra. Sophia Camargo;rferreira@example.org;9924.41
186;Thales Fogaça;salesbryan@example.net;2281.68
187;Isabela Câmara;evargas@example.net;7859.62
188;Sophie Lopes;vda-costa@example.org;5098.31
189;Liam Nogueira;elisanovais@example.net;8909.73
190;Lorenzo Câmara;ana-claracassiano@example.com;8437.65
191;Nina Nascimento;jesusana@example.com;2666.16
192;Ana Lívia Moraes;heloisa19@example.net;9872.91
193;Srta. Emanuella Camargo;matheus26@example.com;1533.97
194;Srta. Aylla da Cruz;dmachado@example.net;6585.84
195;Sr. Murilo Jesus;yago20@example.org;8045.58
196;Eloá Rocha;manuellacosta@example.org;4961.12
197;Ana Luiza Sá;iteixeira@example.net;6260.60
198;Mariah Macedo;pietrodias@example.net;9487.74
199;Ana Clara Pacheco;lunnapeixoto@example.com;6401.31
200;Bento da Cruz;isaquemendonca@example.com;1068.42
201;Bella Ramos;maria-luizacardoso@example.org;4364.22
202;Diego Azevedo;brenopacheco@example.org;5486.83
203;Daniel Freitas;da-matabenjamin@example.net;8215.68
204;Gabriel Pastor;davi-luizguerra@example.org;7246.25
205;Yan Garcia;ferreiradavi-lucca@example.com;1830.67
206;Isabela Dias;da-matanoah@example.com;2627.95
207;Matheus da Rocha;evelyncarvalho@example.net;7692.94
208;Marcela Fonseca;monteiroyasmin@example.net;9157.84
209;Jade da Luz;ana-vitoriacostela@example.net;8545.93
210;Cecilia Melo;maya14@example.com;6233.26
211;Leonardo da Conceição;aragaoolivia@example.com;7584.79
212;Sr. Luan Novaes;luisanascimento@example.net;1553.87
213;Julia Montenegro;emanuelly41@example.net;2540.92
214;Dra. Mariana Jesus;antonella90@example.com;4803.34
215;Kamilly da Luz;vazevedo@example.com;7465.68
216;Ana Beatriz Casa Grande;zda-mata@example.com;8444.88
217;Vitor Gabriel Sousa;olivia76@example.com;5308.94
218;Emilly da Cruz;noah98@example.com;2207.67
219;Gabriela Abreu;aurora13@example.com;9489.35
220;Nicole Sousa;bcavalcante@example.com;8084.81
221;João Guilherme da Mota;ovasconcelos@example.com;8278.29
222;Ana Carolina Pimenta;ccosta@example.com;8275.09
223;Danilo Lima;enzovieira@example.com;7293.82
224;Pietro Guerra;maria-clara35@example.org;5772.27
225;Mateus Cavalcante;wpeixoto@example.org;9729.46
226;Nina Jesus;thales70@example.org;5010.62
227;Caleb Cavalcanti;silvaluiz-felipe@example.org;5100.37
228;Luana Leão;ana-beatrizpeixoto@example.org;2702.43
229;Alexia Marques;henriqueviana@example.net;4902.55
230;Luiz Felipe Araújo;fonsecamarcos-vinicius@example.org;8581.19
231;Ana Sophia da Mata;danilocamargo@example.org;5789.64
232;Elisa Jesus;casa-grandebeatriz@example.net;8637.43
233;Paulo Moraes;smoura@example.com;6461.38
234;Beatriz Gomes;aramos@example.net;1400.61
235;Fernando da Rocha;nascimentogiovanna@example.net;6510.54
236;Isabel Macedo;dsampaio@example.com;5153.67
237;Isis Ribeiro;dcasa-grande@example.com;4397.30
238;João Pedro Barros;alexia25@example.net;5055.01
239;Lara Melo;yuri65@example.net;1155.13
240;Joana Vargas;ksiqueira@example.org;4203.38
241;Bento Fernandes;lfreitas@example.com;9847.20
242;Srta. Ana Júlia Rodrigues;theodoro67@example.com;2313.52
243;Pedro Miguel Lopes;albuquerquemaria-luisa@example.net;3285.09
244;Dra. Eloah da Conceição;auroraribeiro@example.net;6977.78
245;Miguel Lima;alvesmaria-cecilia@example.net;7448.66
246;Melina Mendonça;grodrigues@example.net;2297.50
247;Daniela da Cruz;melomaria-vitoria@example.org;1344.17
248;Luan Melo;qnovaes@example.net;2153.91
249;Dra. Ana Julia Carvalho;brenonogueira@example.net;7742.60
250;Elisa Novais;cavalcantecamila@example.net;7208.73
251;Ana Laura Sampaio;jose78@example.net;9710.51
252;Sr. Henry Gabriel Gonçalves;cfreitas@example.net;5794.18
253;Luigi Cavalcante;teixeiraraul@example.net;7647.04
254;Ana Sophia Martins;gpereira@example.com;8534.10
255;Mateus Sales;sampaioalexia@example.net;6358.93
256;João Gabriel Borges;esther87@example.net;3683.34
257;Maria Clara Ferreira;umoura@example.com;4090.04
258;Thales Rezende;joaolopes@example.org;8188.58
259;Rafael Siqueira;caldeiraisadora@example.org;5530.26
260;Emanuella Porto;yferreira@example.com;2020.95
261;Isabel Campos;helenada-conceicao@example.net;3099.38
262;Murilo Ribeiro;luana74@example.com;7036.77
263;Dra. Hellena Rezende;hnunes@example.com;8238.01
264;Mateus Porto;mendeshenry@example.org;2515.23
265;Sra. Ana Sophia Fogaça;marcelacamara@example.net;3303.94
266;Juliana Sá;cassianocaua@example.org;8368.66
267;Ayla Nascimento;joao-felipesouza@example.com;1166.57
268;João Miguel Ferreira;ana-vitoriafarias@example.org;1492.03
269;João Brito;silveirasara@example.com;1061.21
270;Luan da Rosa;joao-pedroabreu@example.com;2992.78
271;Eloá Andrade;valentinapereira@example.com;6506.36
272;Anthony da Cunha;silveiraryan@example.org;4885.67
273;Maitê Barbosa;valentinavargas@example.net;4073.83
274;Luiz Henrique Guerra;raulmendonca@example.net;6859.39
275;Arthur Almeida;rsilveira@example.com;4073.16
276;Brayan Duarte;silveiramaysa@example.com;6322.01
277;Sofia Sampaio;yasminrocha@example.com;7432.07
278;Sra. Gabrielly Souza;rnovaes@example.net;3436.04
279;Yuri Brito;liz93@example.org;5486.60
280;Apollo Vargas;fmoura@example.org;3209.66
281;Maria Fernanda Lopes;emanuellacamara@example.net;2463.60
282;Bruna Aragão;pimentaisaque@example.com;2291.21
283;Manuela Pereira;fernandamoraes@example.com;8225.17
284;Bella Ramos;luisa96@example.org;6720.85
285;Amanda Campos;vmachado@example.org;4883.49
286;João Guilherme Correia;wcampos@example.org;4402.08
287;Calebe Marques;siqueiravalentina@example.org;9134.06
288;Henry Gabriel Castro;msa@example.com;6653.00
289;Dra. Melina Cirino;pedro-miguelramos@example.net;3642.75
290;Lívia Azevedo;murilo94@example.net;9230.28
291;Léo Pinto;joao-felipeandrade@example.net;2365.96
292;Luiz Felipe da Rosa;davi-lucassiqueira@example.net;2860.56
293;Agatha Novaes;brendamoura@example.com;2091.42
294;Benício Silveira;maria-luisada-rosa@example.com;9448.72
295;Dra. Ana Júlia Sousa;emanuelnovaes@example.net;1925.61
296;Ana Laura Pereira;emanuel10@example.net;1496.03
297;Eloá Novais;oalmeida@example.com;2635.15
298;João Monteiro;laura08@example.org;6793.54
299;Isadora da Conceição;livia70@example.net;5711.52
300;Pedro Miguel Souza;pimentarebeca@example.com;1784.69
301;Dr. Danilo Cassiano;tpacheco@example.org;3840.64
302;Maria Costa;edias@example.com;5840.31
303;José Pedro Gonçalves;maya32@example.com;4131.38
304;Ana Vitória Pastor;diogomontenegro@example.com;4342.04
305;Heitor Lima;vasconcelosfrancisco@example.org;4431.23
306;Luiz Gustavo Fogaça;miguel31@example.net;2172.36
307;Clara Garcia;yagocarvalho@example.org;7216.47
308;Srta. Anna Liz Silveira;luiz-felipecavalcante@example.net;9567.97
309;Kevin Silva;dteixeira@example.com;4518.02
310;Sr. Breno da Mata;enrico47@example.net;9442.17
311;Sra. Letícia da Mota;nascimentorafaela@example.net;6589.49
312;Ana Vitória Almeida;pastorallana@example.org;2746.30
313;Dante Casa Grande;isaque68@example.org;1408.20
314;João Pedro Gomes;arodrigues@example.net;6951.49
315;Felipe Novaes;fcardoso@example.com;9272.44
316;Augusto Jesus;franciscoda-mota@example.net;6276.23
317;Rhavi Costa;cecilia49@example.net;1336.52
318;Ravi Rocha;ian41@example.org;2678.06
319;Ravy Cavalcante;nascimentogael@example.org;5337.99
320;Matheus Cavalcanti;garciadante@example.com;7798.34
321;Sophia Ferreira;levilima@example.com;4347.70
322;Daniel Sampaio;pintomarcos-vinicius@example.com;8282.81
323;Dra. Ayla da Conceição;eloa16@example.com;9008.59
324;Lavínia Martins;borgesrafael@example.com;5729.50
325;Thiago Alves;estersiqueira@example.net;7442.31
326;Davi Lucas Sampaio;emilly67@example.com;6426.56
327;Sra. Maria Luísa Cirino;borgesmaria-helena@example.net;6959.44
328;Sr. Yuri Novaes;dcamargo@example.com;2543.40
329;Lorena Gonçalves;leonardo82@example.org;8654.12
330;Henry Castro;lda-luz@example.net;7296.78
331;Anthony Gabriel Aragão;benjamim25@example.org;8309.35
332;Ísis Fernandes;mateus18@example.com;4767.05
333;Lunna Silveira;vicentebarros@example.org;5246.51
334;Murilo das Neves;barbara28@example.org;6786.27
335;Maria Sophia Barbosa;saallana@example.net;5733.91
336;Heloisa Rodrigues;pmendes@example.net;4732.11
337;Emanuel da Cruz;esterfernandes@example.com;2404.90
338;Davi Melo;carvalhoarthur@example.com;9112.03
339;Enzo Santos;slima@example.net;2523.34
340;Lívia Brito;icardoso@example.org;8080.33
341;Emilly Pimenta;maria-alice32@example.com;1848.28
342;Dr. José Pereira;anna-lizrios@example.com;5203.13
343;Théo Brito;isaacmonteiro@example.org;6961.46
344;Lucas Araújo;maria-luisa93@example.org;2778.89
345;Giovanna Campos;rrodrigues@example.org;8825.39
346;Dra. Luna Machado;eda-costa@example.com;6139.06
347;Sr. Levi Nunes;gcirino@example.com;9122.19
348;Srta. Jade da Cunha;rodrigueshelena@example.org;1145.75
349;Melina Pimenta;carlos-eduardo84@example.net;9998.44
350;Gustavo Alves;sampaiosabrina@example.org;1241.14
351;Srta. Ana Farias;nicolasfarias@example.net;8656.32
352;Théo Pinto;barbara35@example.com;6208.64
353;Luísa da Costa;sousajade@example.com;1120.46
354;Davi Lucas da Mota;aragaoisaque@example.org;9405.11
355;Luan Sá;vcardoso@example.net;1734.95
356;Henry Pimenta;rafaela37@example.com;6413.46
357;João Guilherme Sales;mouramatteo@example.org;9813.70
358;Sara Cavalcanti;cauerios@example.org;7262.35
359;Clarice Silva;pedrosampaio@example.com;9514.05
360;Raul da Mota;vnascimento@example.com;1893.11
361;Juan Pires;leaoeduarda@example.org;3962.09
362;Theodoro Dias;vianamariah@example.net;4741.70
363;João Lucas Cunha;benjamin35@example.net;6898.10
364;Henrique Andrade;woliveira@example.com;8668.72
365;Bruno Garcia;carlos-eduardo08@example.com;3301.10
366;Lara Oliveira;luara14@example.org;2845.19
367;Mathias Costa;carvalholeandro@example.org;3644.56
368;Sr. Yago Porto;isadora84@example.com;9425.93
369;Dr. Pedro Miguel Aparecida;joao65@example.net;4044.13
370;Srta. Ana Clara Barbosa;agathafernandes@example.com;6881.47
371;Juliana Aparecida;camilapacheco@example.net;1806.37
372;Vicente Mendes;clima@example.com;9307.87
373;Benicio Siqueira;joao-miguelda-luz@example.net;9853.65
374;Leonardo Caldeira;leonardofreitas@example.com;1350.06
375;Srta. Marina Jesus;mrocha@example.net;6872.91
376;Beatriz Novaes;maria-isis58@example.org;5436.09
377;Stella Monteiro;ubrito@example.net;2318.03
378;Sra. Caroline Novaes;duarteemanuel@example.net;6471.79
379;Mateus Fonseca;marcelasilveira@example.net;3455.52
380;Ana Clara Porto;znogueira@example.org;5833.29
381;Bruno Ramos;joao-pedrocosta@example.net;3948.70
382;João Gabriel da Rosa;machadomaria-alice@example.org;2600.06
383;Sra. Pietra Garcia;ana-beatriz78@example.net;5585.47
384;Dom Correia;melissaabreu@example.net;2637.86
385;Cecília Lima;vianaisabel@example.com;4492.45
386;Maria Vitória Ferreira;luiz-henriqueviana@example.org;4928.35
387;Thomas Brito;aparecidamaria-fernanda@example.org;3869.98
388;Srta. Luiza Montenegro;rael81@example.org;2872.23
389;Pietra Oliveira;das-nevesalexia@example.org;4093.32
390;Ian Barbosa;asampaio@example.com;8670.19
391;João Gabriel Gonçalves;rguerra@example.net;2287.37
392;Lara Pereira;gaelcamargo@example.org;9808.75
393;Emanuelly Cardoso;ana-lizda-cruz@example.net;9301.03
394;Alícia da Mota;wteixeira@example.net;4187.78
395;Pedro Lucas Aragão;allana30@example.com;6564.53
396;Dom Leão;montenegronatalia@example.org;4076.03
397;Milena Mendes;srodrigues@example.com;3667.82
398;Bruna Fogaça;alanagoncalves@example.org;5637.01
399;Leonardo Siqueira;martinsjuliana@example.com;7565.95
400;Maria Luiza Martins;icavalcanti@example.com;4973.78
401;Maysa Jesus;maria-isiscampos@example.net;9165.27
402;Eduardo Pimenta;lmonteiro@example.net;1279.80
403;Apollo Pires;vitor-gabriel01@example.net;3145.20
404;Gael Henrique Macedo;zaparecida@example.com;3198.17
405;Clara Barros;montenegrofernanda@example.net;2028.66
406;Mathias da Paz;jose-pedro51@example.net;3922.64
407;Alexia Sá;frios@example.net;2593.24
408;Joaquim Câmara;benjamim81@example.net;5154.33
409;Lorenzo Silveira;andremonteiro@example.org;6704.98
410;Levi Oliveira;diasjoaquim@example.com;4389.88
411;Caleb Machado;gsiqueira@example.com;5792.94
412;Beatriz Azevedo;brenomachado@example.org;2855.13
413;Júlia Pinto;juanmontenegro@example.net;5945.43
414;Sra. Esther Novais;wnovaes@example.com;9478.32
415;Maya Dias;cardosomaria-eduarda@example.net;8267.33
416;Luiz Fernando Alves;rpereira@example.org;5860.95
417;Sra. Nicole Sousa;pereiraana-julia@example.net;3858.36
418;Luiz Henrique da Cruz;ldas-neves@example.org;3474.88
419;Apollo Gomes;eduardamacedo@example.com;7179.36
420;Fernando Melo;joanasousa@example.org;6754.59
421;Ana Beatriz da Rosa;bsampaio@example.com;3699.21
422;Thomas da Costa;juliana57@example.org;6833.15
423;Sra. Ana Vitória Aparecida;bellada-costa@example.net;6420.76
424;Renan Sampaio;jnascimento@example.net;9392.27
425;Arthur Gabriel Cassiano;calves@example.org;5163.56
426;Laís Cavalcanti;caua28@example.org;3349.56
427;Sr. Mateus Ramos;castrovinicius@example.org;6329.47
428;Valentina Vieira;borgeslarissa@example.com;5280.31
429;Cecilia Pinto;da-cunhajuan@example.net;8657.11
430;Henry Macedo;davinovaes@example.net;8195.84
431;Ian Siqueira;monteiroisabel@example.com;2433.87
432;Kamilly Teixeira;danielalves@example.net;4320.33
433;Ana Julia da Rosa;tramos@example.net;5722.36
434;Amanda Santos;davi-lucas61@example.net;4141.66
435;Lunna Farias;maya42@example.net;7435.08
436;Pietra Oliveira;ecunha@example.net;2922.65
437;José Miguel Pereira;britorafael@example.net;1159.49
438;Maria Julia da Cruz;fernandesjoana@example.net;5308.99
439;Dra. Amanda Rios;caldeiraheloisa@example.org;1322.86
440;Maria Eduarda da Conceição;catarinavieira@example.net;2052.66
441;Thiago Fonseca;erickcosta@example.org;8352.35
442;Marcos Vinicius Borges;azevedoluiz-otavio@example.com;1077.93
443;Ravi Melo;alexia79@example.net;4108.66
444;Ana Júlia Rezende;davi-miguel06@example.org;2275.19
445;Danilo Mendes;maria-fernanda53@example.com;7853.80
446;Srta. Maria Vitória Cavalcanti;ooliveira@example.org;4525.68
447;Maria Eduarda Ribeiro;da-matamarcelo@example.org;8886.20
448;Sr. Enrico Câmara;nrios@example.net;3791.01
449;Sra. Marcela da Mata;castrovinicius@example.com;6038.87
450;Marcelo Fonseca;da-costavicente@example.net;4491.54
451;Rodrigo Correia;igorporto@example.net;6376.99
452;Asafe Cassiano;bernardo67@example.com;8522.87
453;Maria Eduarda da Cruz;ateixeira@example.org;6751.68
454;Dr. Rael Farias;silvanicole@example.org;3194.74
455;Júlia Brito;ribeirocaua@example.org;8997.39
456;Luana Ramos;rochalivia@example.org;2380.13
457;Lara Casa Grande;pietro86@example.net;7023.74
458;Kevin Vargas;bcassiano@example.org;5604.05
459;Benjamin Almeida;marcos-vinicius17@example.net;3053.49
460;Bento Caldeira;mendesvitoria@example.com;2967.52
461;Helena Albuquerque;jesuspedro-lucas@example.com;6058.66
462;Sr. Benício Cavalcanti;maysamoreira@example.org;2582.02
463;Dante Nascimento;azevedosabrina@example.com;2266.23
464;Ryan Costa;ottoramos@example.org;5295.24
465;Clara Siqueira;andreleao@example.org;7883.68
466;Gustavo Cunha;britoemilly@example.org;9613.01
467;Dra. Ísis da Mota;montenegroclarice@example.com;3010.97
468;Emilly da Cruz;lorenzomarques@example.org;4286.49
469;Aylla Camargo;tcamara@example.com;3609.12
470;Ana Cecília da Conceição;benjaminmoreira@example.org;6676.62
471;Isaac Caldeira;abreuryan@example.net;1499.39
472;Lavínia Pereira;calebda-conceicao@example.net;2338.27
473;Ana Laura Freitas;ovargas@example.com;4428.02
474;Ester Nunes;saasafe@example.net;2127.78
475;Rhavi Melo;joao-lucasrocha@example.net;3239.88
476;Fernando da Paz;fda-rocha@example.com;5510.59
477;Yuri Duarte;luiz-felipe37@example.com;9876.49
478;João Felipe Albuquerque;matheusda-conceicao@example.net;9735.57
479;Sra. Gabrielly da Cunha;azevedomatheus@example.net;2316.28
480;Caleb Macedo;joao-pedrogoncalves@example.com;2091.75
481;Isabela Porto;lsa@example.org;9482.21
482;Luiz Felipe Melo;ana-carolina67@example.net;5896.16
483;Eduarda Silveira;carlos-eduardo27@example.net;8155.32
484;Dr. Gustavo Henrique Pires;luigi98@example.net;9985.88
485;Nathan Campos;caroline00@example.net;9249.38
486;Henry Pires;leaoguilherme@example.com;5482.36
487;Dr. Theo Farias;joao-guilhermeazevedo@example.org;9123.46
488;Dra. Lívia Novais;dantejesus@example.com;9478.40
